0,655,557,896,721,car, 
1,198,559,514,762,car, 
2,986,429,1219,578,car, 
3,706,410,918,545,car, 
4,59,393,309,529,car, 
5,432,378,652,515,car, 
6,416,283,621,409,car, 
7,1163,243,1347,360,car, 
8,931,206,1130,337,car, 
9,678,100,844,197,car, 
10,691,202,874,316,car, 
11,1066,85,1232,179,car, 
12,436,175,638,285,car, 
13,130,255,362,383,car, 
14,906,144,1052,239,car, 
15,889,47,1039,131,car, 
16,1288,105,1381,201,car, 
17,1244,30,1380,117,car, 
18,280,753,448,797,car, 
19,931,610,1016,686,motorcycle, 
20,1311,254,1380,408,car, 
0,664,551,904,716,car, 
1,217,551,531,754,car, 
2,995,424,1230,576,car, 
3,719,405,931,540,car, 
4,68,391,317,525,car, 
5,451,371,667,507,car, 
6,418,281,624,409,car, 
7,1170,239,1352,358,car, 
8,943,202,1143,334,car, 
9,678,99,844,197,car, 
10,692,202,876,316,car, 
11,1065,84,1231,178,car, 
12,435,174,638,285,car, 
13,129,255,362,382,car, 
14,906,143,1053,238,car, 
15,889,46,1039,131,car, 
16,1293,101,1381,196,car, 
17,1244,29,1380,116,car, 
18,281,746,462,797,car, 
19,940,603,1028,682,motorcycle, 
20,1320,252,1381,402,car, 
21,1144,4,1299,67,car, 
0,670,548,911,713,car, 
1,228,546,541,749,car, 
2,1001,420,1237,569,car, 
3,728,401,939,534,car, 
4,71,389,322,523,car, 
5,462,367,678,502,car, 
6,420,281,626,412,car, 
7,1174,236,1356,354,car, 
8,953,197,1149,329,car, 
9,678,99,844,197,car, 
10,693,201,877,315,car, 
11,1065,84,1231,178,car, 
12,435,174,638,284,car, 
13,129,254,362,380,car, 
14,906,142,1053,238,car, 
15,889,46,1039,131,car, 
16,1299,102,1381,195,car, 
17,1244,29,1380,115,car, 
18,280,742,470,797,car, 
19,940,603,1028,682,motorcycle, 
20,1324,251,1381,395,car, 
21,1145,5,1300,67,car, 
22,0,609,26,698,car, 
0,678,545,917,709,car, 
1,240,541,552,743,car, 
2,1007,418,1242,565,car, 
3,739,396,948,529,car, 
4,77,386,324,521,car, 
5,475,362,689,497,car, 
6,421,281,626,411,car, 
7,1178,234,1359,351,car, 
8,960,193,1156,325,car, 
9,678,98,844,196,car, 
10,693,200,878,314,car, 
11,1065,83,1231,178,car, 
12,435,173,637,284,car, 
13,129,253,362,381,car, 
14,906,141,1054,238,car, 
15,888,45,1039,130,car, 
16,1303,102,1381,193,car, 
17,1241,29,1380,115,car, 
18,276,739,478,797,car, 
19,956,596,1039,672,motorcycle, 
20,1324,251,1381,395,car, 
21,1147,4,1301,65,car, 
22,0,601,42,705,car, 
0,684,541,923,705,car, 
1,253,536,560,737,car, 
2,1015,415,1249,560,car, 
3,748,391,957,524,car, 
4,80,385,328,519,car, 
5,484,358,699,490,car, 
6,420,280,627,410,car, 
7,1183,232,1363,350,car, 
8,967,190,1163,321,car, 
9,678,97,844,196,car, 
10,694,200,878,313,car, 
11,1065,82,1231,176,car, 
12,434,172,637,283,car, 
13,129,252,362,380,car, 
14,906,140,1054,237,car, 
15,888,45,1039,129,car, 
16,1303,102,1381,193,car, 
17,1240,28,1380,114,car, 
18,272,735,487,797,car, 
19,960,593,1046,668,motorcycle, 
20,1305,101,1381,190,car, 
21,1147,4,1301,65,car, 
22,0,596,57,702,car, 
0,690,537,930,702,car, 
1,265,531,570,730,car, 
2,1022,410,1253,558,car, 
3,759,386,967,518,car, 
4,84,383,331,516,car, 
5,495,352,710,487,car, 
6,421,279,628,409,car, 
7,1188,229,1371,347,car, 
8,974,188,1171,317,car, 
9,678,97,844,195,car, 
10,693,198,878,312,car, 
11,1065,81,1231,174,car, 
12,434,171,638,283,car, 
13,128,251,361,379,car, 
14,906,138,1054,236,car, 
15,888,43,1040,129,car, 
16,1309,101,1381,189,car, 
17,1240,28,1380,113,car, 
18,272,732,493,797,car, 
19,966,589,1051,664,motorcycle, 
20,1337,259,1381,376,car, 
21,0,588,72,697,car, 
22,0,596,57,702,car, 
0,697,534,936,699,car, 
1,275,527,580,726,car, 
2,1027,408,1259,552,car, 
3,769,382,978,513,car, 
4,88,380,335,514,car, 
5,508,349,721,481,car, 
6,422,279,629,407,car, 
7,1192,226,1374,344,car, 
8,982,185,1177,315,car, 
9,679,96,845,194,car, 
10,693,198,878,312,car, 
11,1066,80,1231,173,car, 
12,433,170,638,282,car, 
13,128,250,361,379,car, 
14,905,137,1054,234,car, 
15,888,42,1039,128,car, 
16,1314,100,1381,187,car, 
17,1241,27,1380,112,car, 
18,272,729,501,797,car, 
19,966,589,1051,664,motorcycle, 
20,1341,266,1381,369,car, 
21,0,588,72,697,car, 
22,0,583,88,692,car, 
0,702,531,940,695,car, 
1,285,523,591,720,car, 
2,1032,405,1264,548,car, 
3,780,378,988,508,car, 
4,92,377,339,512,car, 
5,520,344,731,476,car, 
6,421,278,629,406,car, 
7,1198,225,1377,341,car, 
8,988,183,1183,311,car, 
9,679,95,845,193,car, 
10,693,197,879,312,car, 
11,1065,78,1231,172,car, 
12,432,170,637,281,car, 
13,128,249,360,379,car, 
14,905,137,1054,234,car, 
15,889,42,1039,128,car, 
16,1316,100,1381,185,car, 
17,1241,26,1380,112,car, 
18,272,726,507,797,car, 
19,979,583,1067,658,motorcycle, 
20,1345,267,1381,361,car, 
21,0,577,101,690,car, 
22,0,583,88,692,car, 
0,709,528,947,690,car, 
1,296,518,599,716,car, 
2,1037,402,1269,546,car, 
3,791,374,997,505,car, 
4,95,376,343,510,car, 
5,531,340,742,471,car, 
6,420,277,629,405,car, 
7,1202,222,1379,340,car, 
8,993,177,1189,307,car, 
9,680,95,846,192,car, 
10,693,196,879,311,car, 
11,1065,78,1231,171,car, 
12,432,169,637,280,car, 
13,127,249,360,378,car, 
14,904,136,1054,233,car, 
15,888,42,1039,128,car, 
16,1319,100,1381,182,car, 
17,1241,26,1380,112,car, 
18,271,724,512,797,car, 
19,0,572,114,691,motorcycle, 
20,1345,267,1381,361,car, 
21,0,577,101,690,car, 
22,1348,272,1381,358,car, 
0,715,525,953,686,car, 
1,306,512,610,712,car, 
2,1041,400,1273,546,car, 
3,799,369,1007,499,car, 
4,98,375,345,507,car, 
